frame_idx,track_id,cls_id,conf,x1,y1,x2,y2
25,7,2,0.4145,1496,237,1725,343
25,8,2,0.6623,966,796,1350,1044
25,9,2,0.5363,2020,710,2328,875
25,10,2,0.7125,671,128,926,238
25,11,2,0.4490,1974,509,2135,610
25,12,2,0.5083,609,1,853,128
25,13,2,0.3720,875,582,1219,761
25,14,2,0.3717,872,488,1165,627
25,15,2,0.3580,1769,469,2058,619
26,1,2,0.6953,1586,310,1858,453
26,2,2,0.5126,2307,1087,2559,1314
26,3,2,0.4089,2375,1248,2558,1437
26,4,2,0.4710,2446,1241,2558,1435
26,5,2,0.7108,725,259,1019,385
26,6,2,0.6244,1020,1029,1464,1227
26,7,2,0.4226,1497,239,1730,350
26,8,2,0.5862,963,810,1346,1059
26,9,2,0.6091,2023,720,2338,888
26,10,2,0.5021,669,138,919,243
26,11,2,0.4490,1974,509,2135,610
26,12,2,0.5308,607,3,853,132
26,13,2,0.3720,875,582,1219,761
26,14,2,0.3717,872,488,1165,627
26,15,2,0.3580,1769,469,2058,619
27,1,2,0.8036,1583,313,1859,464
27,2,2,0.5283,2319,1112,2558,1330
27,3,2,0.4089,2375,1248,2558,1437
27,4,2,0.4710,2446,1241,2558,1435
27,5,2,0.6584,727,267,1018,386
27,6,2,0.4596,1021,1046,1465,1251
27,7,2,0.7088,1498,241,1728,357
27,8,2,0.5885,960,831,1350,1080
27,9,2,0.5735,2028,726,2340,905
27,10,2,0.6743,665,143,917,253
27,11,2,0.4490,1974,509,2135,610
27,12,2,0.5740,598,1,858,139
27,13,2,0.3720,875,582,1219,761
27,14,2,0.3717,872,488,1165,627
27,15,2,0.3580,1769,469,2058,619
27,16,2,0.4387,2229,4,2426,111
27,17,2,0.3522,1286,7,1524,127
28,1,2,0.7839,1585,330,1867,467
28,2,2,0.4561,2319,1136,2558,1356
28,3,2,0.4089,2375,1248,2558,1437
28,4,2,0.4710,2446,1241,2558,1435
28,5,2,0.6107,720,275,1014,400
28,6,2,0.5525,1016,1070,1466,1262
28,7,2,0.3688,1506,254,1730,366
28,8,2,0.4447,958,839,1347,1094
28,9,2,0.4755,2034,745,2347,923
28,10,2,0.5945,657,148,916,254
28,11,2,0.4490,1974,509,2135,610
28,12,2,0.6713,597,0,850,143
28,13,2,0.3720,875,582,1219,761
28,14,2,0.3717,872,488,1165,627
28,15,2,0.3580,1769,469,2058,619
28,16,2,0.4659,2231,5,2433,114
28,17,2,0.3522,1286,7,1524,127
29,1,2,0.7290,1586,331,1871,475
29,2,2,0.4560,2327,1154,2559,1376
29,3,2,0.4089,2375,1248,2558,1437
29,4,2,0.4710,2446,1241,2558,1435
29,5,2,0.6872,722,279,1017,404
29,6,2,0.6423,1015,1085,1469,1283
29,7,2,0.3688,1506,254,1730,366
29,8,2,0.6064,951,851,1343,1119
29,9,2,0.6021,2037,754,2355,934
29,10,2,0.6346,661,146,919,264
29,11,2,0.4490,1974,509,2135,610
29,12,2,0.6597,600,1,849,145
29,13,2,0.3720,875,582,1219,761
29,14,2,0.3717,872,488,1165,627
29,15,2,0.3580,1769,469,2058,619
29,16,2,0.5428,2233,8,2437,119
29,17,2,0.3522,1286,7,1524,127
30,1,2,0.7235,1589,336,1873,483
30,2,2,0.4560,2327,1154,2559,1376
30,3,2,0.4089,2375,1248,2558,1437
30,4,2,0.4710,2446,1241,2558,1435
30,5,2,0.5477,709,284,1012,413
30,6,2,0.4886,1015,1104,1467,1314
30,7,2,0.3688,1506,254,1730,366
30,8,2,0.4845,951,869,1349,1132
30,9,2,0.6421,2043,767,2366,954
30,10,2,0.3670,653,153,911,275
30,11,2,0.4490,1974,509,2135,610
30,12,2,0.4123,596,0,842,152
30,13,2,0.3720,875,582,1219,761
30,14,2,0.3717,872,488,1165,627
30,15,2,0.3580,1769,469,2058,619
30,16,2,0.3981,2237,9,2442,124
30,17,2,0.3522,1286,7,1524,127
31,1,2,0.6914,1590,341,1877,495
31,2,2,0.4560,2327,1154,2559,1376
31,3,2,0.4089,2375,1248,2558,1437
31,4,2,0.4710,2446,1241,2558,1435
31,5,2,0.4731,707,291,1014,422
31,6,2,0.5683,1011,1123,1469,1331
31,7,2,0.4241,1505,276,1741,384
31,8,2,0.6194,943,888,1348,1154
31,9,2,0.6710,2047,781,2369,966
31,10,2,0.3670,653,153,911,275
31,11,2,0.4490,1974,509,2135,610
31,12,2,0.4123,596,0,842,152
31,13,2,0.3720,875,582,1219,761
31,14,2,0.3717,872,488,1165,627
31,15,2,0.3580,1769,469,2058,619
31,16,2,0.5723,2241,8,2446,129
31,17,2,0.3522,1286,7,1524,127
32,1,2,0.7623,1589,349,1879,503
32,2,2,0.4560,2327,1154,2559,1376
32,3,2,0.4089,2375,1248,2558,1437
32,4,2,0.4710,2446,1241,2558,1435
32,5,2,0.7578,712,305,1005,431
32,6,2,0.5303,1008,1141,1467,1356
32,7,2,0.4915,1503,281,1740,396
32,8,2,0.5245,941,901,1347,1173
32,9,2,0.6658,2051,797,2375,979
32,10,2,0.3670,653,153,911,275
32,11,2,0.4490,1974,509,2135,610
32,12,2,0.3791,589,14,836,163
32,13,2,0.3720,875,582,1219,761
32,14,2,0.3717,872,488,1165,627
32,15,2,0.3580,1769,469,2058,619
32,16,2,0.4754,2239,6,2448,136
32,17,2,0.3522,1286,7,1524,127
33,1,2,0.6923,1591,358,1882,511
33,2,2,0.3741,2360,1236,2558,1437
33,3,2,0.4089,2375,1248,2558,1437
33,5,2,0.8354,704,311,1009,435
33,6,2,0.5307,1002,1162,1468,1386
33,7,2,0.4703,1505,293,1737,403
33,8,2,0.5988,937,915,1343,1191
33,9,2,0.5297,2055,810,2388,996
33,10,2,0.4969,640,177,901,291
33,11,2,0.4490,1974,509,2135,610
33,12,2,0.4652,584,37,847,170
33,13,2,0.3720,875,582,1219,761
33,14,2,0.3717,872,488,1165,627
33,15,2,0.3580,1769,469,2058,619
33,16,2,0.4499,2240,4,2451,142
33,17,2,0.3522,1286,7,1524,127
34,1,2,0.7986,1593,370,1885,524
34,2,2,0.3741,2360,1236,2558,1437
34,3,2,0.4089,2375,1248,2558,1437
34,5,2,0.6062,699,314,1007,444
34,6,2,0.5693,1001,1180,1471,1398
34,7,2,0.4092,1499,295,1739,415
34,8,2,0.5845,933,930,1350,1213
34,9,2,0.6769,2062,823,2389,1016
34,10,2,0.3874,637,182,909,299
34,11,2,0.4490,1974,509,2135,610
34,12,2,0.4658,576,32,833,174
34,13,2,0.3720,875,582,1219,761
34,14,2,0.3717,872,488,1165,627
34,15,2,0.3580,1769,469,2058,619
34,16,2,0.4499,2240,4,2451,142
34,17,2,0.3522,1286,7,1524,127
34,18,2,0.3640,1789,563,2096,705
35,1,2,0.8031,1591,376,1887,532
35,2,2,0.3741,2360,1236,2558,1437
35,3,2,0.4089,2375,1248,2558,1437
35,5,2,0.5082,696,325,999,453
35,6,2,0.6982,988,1202,1470,1416
35,7,2,0.3788,1503,300,1742,424
35,8,2,0.4645,923,950,1347,1234
35,9,2,0.5742,2064,842,2399,1028
35,10,2,0.3874,637,182,909,299
35,11,2,0.4490,1974,509,2135,610
35,12,2,0.4658,576,32,833,174
35,13,2,0.3720,875,582,1219,761
35,14,2,0.3717,872,488,1165,627
35,15,2,0.3580,1769,469,2058,619
35,16,2,0.5330,2256,47,2460,148
35,17,2,0.3522,1286,7,1524,127
35,18,2,0.3640,1789,563,2096,705
36,1,2,0.7425,1591,387,1891,538
36,2,2,0.3741,2360,1236,2558,1437
36,3,2,0.4089,2375,1248,2558,1437
36,5,2,0.3732,691,335,997,466
36,6,2,0.5134,981,1222,1470,1427
36,7,2,0.3788,1503,300,1742,424
36,8,2,0.5097,924,962,1343,1253
36,9,2,0.8063,2069,851,2402,1047
36,10,2,0.3874,637,182,909,299
36,11,2,0.4490,1974,509,2135,610
36,12,2,0.4658,576,32,833,174
36,13,2,0.3720,875,582,1219,761
36,14,2,0.3717,872,488,1165,627
36,15,2,0.3580,1769,469,2058,619
36,16,2,0.5330,2256,47,2460,148
36,17,2,0.3522,1286,7,1524,127
36,18,2,0.3799,1794,587,2106,742
36,19,2,0.5978,1993,717,2255,895
37,1,2,0.7083,1596,391,1893,550
37,2,2,0.3741,2360,1236,2558,1437
37,3,2,0.4089,2375,1248,2558,1437
37,5,2,0.6846,691,340,993,470
37,6,2,0.5389,981,1243,1472,1434
37,7,2,0.3788,1503,300,1742,424
37,8,2,0.5710,921,984,1344,1279
37,9,2,0.5991,2076,869,2410,1061
37,10,2,0.4281,621,205,889,317
37,11,2,0.4490,1974,509,2135,610
37,12,2,0.4658,576,32,833,174
37,13,2,0.3720,875,582,1219,761
37,14,2,0.3717,872,488,1165,627
37,15,2,0.3580,1769,469,2058,619
37,16,2,0.5330,2256,47,2460,148
37,17,2,0.3522,1286,7,1524,127
37,18,2,0.3799,1794,587,2106,742
37,19,2,0.4951,1999,734,2261,906
38,1,2,0.6916,1597,401,1894,561
38,2,2,0.3741,2360,1236,2558,1437
38,3,2,0.4089,2375,1248,2558,1437
38,5,2,0.6311,693,346,993,474
38,6,2,0.5389,981,1243,1472,1434
38,7,2,0.3788,1503,300,1742,424
38,8,2,0.4230,910,1001,1343,1296
38,9,2,0.7067,2082,885,2421,1083
38,10,2,0.4281,621,205,889,317
38,11,2,0.4490,1974,509,2135,610
38,12,2,0.4658,576,32,833,174
38,13,2,0.3720,875,582,1219,761
38,14,2,0.3717,872,488,1165,627
38,15,2,0.3580,1769,469,2058,619
38,16,2,0.4472,2267,62,2478,166
38,17,2,0.3522,1286,7,1524,127
38,18,2,0.3799,1794,587,2106,742
38,19,2,0.4033,2002,750,2249,884
39,1,2,0.6838,1603,409,1896,570
39,2,2,0.3741,2360,1236,2558,1437
39,3,2,0.4089,2375,1248,2558,1437
39,5,2,0.6528,684,355,993,489
39,6,2,0.5389,981,1243,1472,1434
39,7,2,0.5483,1505,325,1753,450
39,8,2,0.4459,907,1019,1341,1318
39,9,2,0.7124,2082,898,2424,1098
39,10,2,0.5707,601,214,887,330
39,11,2,0.4490,1974,509,2135,610
39,12,2,0.4658,576,32,833,174
39,13,2,0.3720,875,582,1219,761
39,14,2,0.3717,872,488,1165,627
39,15,2,0.3580,1769,469,2058,619
39,16,2,0.6474,2272,66,2479,173
39,17,2,0.3522,1286,7,1524,127
39,18,2,0.3799,1794,587,2106,742
39,19,2,0.4033,2002,750,2249,884
40,1,2,0.6236,1604,425,1898,581
40,2,2,0.3741,2360,1236,2558,1437
40,3,2,0.4089,2375,1248,2558,1437
40,5,2,0.6903,679,366,991,496
40,6,2,0.5389,981,1243,1472,1434
40,7,2,0.5520,1502,338,1753,465
